blockGroup,marketCategory,sales20092010,salesPriceCoefficientVariance ,commercialResidentialLandRatio,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,medianSalesPrice20092010,ownerOccupied
2602024,Middle Market Stressed,23,0.59,19.21,5937.5,0,1,1,7,$65000.00,63.1
2801025,Middle Market Choice,23,0.34,0,3162.5,0,3,0,5,$126000.00,77.9
2701023,Middle Market,22,0.5,5.96,3380,0,5,1,10,$75500.00,64.8
201001,Regional Choice,22,0.54,8.83,12166.67,1,1,2,4,$239500.00,43.3
801012,Middle Market,22,0.53,0,6480,0,5,1,7,$95500.00,78.1
805003,Distressed,22,0.71,0.81,2137.5,0,10,20,3,$24334.00,57.5
901003,Middle Market,22,0.47,10.44,5387.5,0,3,0,4,$97875.00,73.1
909002,Distressed,22,1.12,5.49,5200,0,9,28,3,$23950.00,33.4
1202001,Regional Choice,22,0.64,6.11,6683.33,0,2,1,3,$220188.00,61.8
1203003,Middle Market Stressed,22,0.99,17.61,10133.33,1,1,9,7,$63500.00,44
1308061,Middle Market,22,0.61,0.81,970.91,1,25,0,6,$108500.00,68.6
1402002,Distressed,22,1.15,19.12,9600,1,14,18,9,$32000.00,19
1506003,Distressed,22,1.02,34.1,5875,0,8,22,8,$18000.00,48.9
1513004,Distressed,22,1.11,3.3,2650,0,9,13,5,$25250.00,54.8
1606001,Distressed,22,0.57,0,6966.67,0,4,21,5,$20250.00,42.8
1607003,Distressed,22,0.95,0,7466.67,0,3,15,6,$17750.00,55.9
1903004,Distressed,22,0.73,8.65,4116.67,0,6,14,3,$30016.00,37.3
2007012,Distressed,22,0.79,73.44,9250,0,2,2,5,$35975.00,72
2601012,Middle Market Choice,22,0.31,0,3233.33,0,7,0,6,$139950.00,83.4
2601022,Middle Market,22,0.42,5.48,4528.57,0,1,0,7,$76570.00,80.1
2602011,Middle Market,22,0.5,3.26,2450,0,2,1,9,$84275.00,72.6
2602021,Middle Market Stressed,22,0.61,5.48,6150,0,2,3,11,$43500.00,61.1
2708025,Middle Market Choice,22,0.44,212.06,4600,0,0,1,5,$120000.00,77.8
2801022,Middle Market,22,0.61,0,2723.08,1,6,2,7,$78500.00,67.2
2708021,Middle Market Choice,21,0.35,22.01,4914.29,0,1,0,7,$116500.00,89.9
2002001,Distressed,21,0.78,146.85,3342.86,0,6,6,4,$31800.00,59.5
2709032,Middle Market Choice,21,0.41,35.8,6633.33,0,5,0,3,$175000.00,34.4
1608023,Middle Market Stressed,21,0.5,0,6933.33,0,1,1,5,$50000.00,78
2501022,Middle Market Choice,21,0.51,41.1,6325,0,4,1,5,$112000.00,58.5
2712004,Regional Choice,21,0.18,1.91,960.61,1,4,0,2,$620000.00,93.7
2711022,Regional Choice,21,0.63,8.08,1352.63,0,3,0,3,$426000.00,88.5
2708043,Regional Choice,21,0.4,0,4814.29,0,4,0,3,$215000.00,59.4
203002,Regional Choice,21,0.64,0.9,5035.71,0,7,0,4,$355000.00,29.8
2701011,Regional Choice,21,0.35,0,3411.11,1,0,0,3,$210000.00,86.8
1203001,Middle Market Stressed,21,0.75,6.09,13933.33,0,0,1,4,$67663.00,39.4
704001,Distressed,21,0.62,1.02,1625,0,54,25,0,$27895.00,35.4
805002,Distressed,21,0.78,5.17,11200,0,0,17,5,$32000.00,47.2
1510002,Middle Market Stressed,21,0.88,18.96,3940,0,5,4,8,$48918.00,55.3
2610001,Distressed,21,0.53,0,12450,0,0,4,11,$30100.00,35.3
1608012,Middle Market Stressed,21,0.61,0,7933.33,0,0,0,4,$50000.00,73.2
2503012,Distressed,21,0.63,1131.86,4250,0,5,13,1,$40000.00,42.4
2504024,Middle Market Stressed,21,0.76,14,6033.33,0,5,4,7,$42000.00,56.7
807004,Distressed,21,1.07,8.89,2633.33,3,49,18,5,$20000.00,47.3
907002,Distressed,21,1.04,26.91,6900,0,11,19,6,$13500.00,35.2
2605015,Middle Market Choice,21,0.44,27.17,7271.43,0,4,1,3,$120000.00,57.2
2502063,Middle Market Choice,21,0.48,6.28,1540,0,14,1,4,$112500.00,75.4
1204001,Middle Market Stressed,20,0.95,3.16,7000,2,20,21,4,$46923.00,23.5
2601023,Middle Market Choice,20,0.38,0,2460,0,2,1,7,$120750.00,71.8
1501002,Distressed,20,1.18,14.75,6060,1,13,13,3,$16041.00,44.5
1508004,Middle Market Stressed,20,0.69,352.97,3340,0,6,5,13,$65000.00,43.5
1308032,Middle Market Choice,20,0.28,418.66,10085.71,0,10,0,2,$154500.00,50.8
2804041,Middle Market Choice,20,0.39,0,6046.67,0,12,0,4,$129000.00,41
2604021,Middle Market Stressed,20,0.74,181.73,3326.32,0,11,0,9,$56000.00,42.1
2603012,Middle Market Stressed,20,0.43,0,6166.67,0,1,1,6,$60771.00,71.8
2720011,Middle Market,20,0.32,13.69,5772.73,0,2,0,4,$106000.00,30.4
2603026,Middle Market Stressed,20,0.48,1.16,5200,0,0,1,7,$63350.00,64.8
2001003,Distressed,20,1.16,12.65,6366.67,0,5,22,3,$12375.00,33
902002,Middle Market Choice,20,0.36,19.36,2957.14,0,1,0,5,$151924.00,80.5
2007014,Distressed,20,0.66,0,1280,0,10,6,8,$38000.00,59.2
2707031,Middle Market Choice,20,0.34,6.26,4555.56,0,3,0,5,$166150.00,66.6
2715011,Regional Choice,20,0.28,3.4,762.5,0,21,0,3,$299000.00,85.7
202001,Regional Choice,20,0.57,217.34,10000,4,6,2,5,$189950.00,40.6
903005,Regional Choice,20,0.38,0,9750,0,0,1,2,$165000.00,84.9
2718012,Distressed,20,0.89,3.66,7983.33,0,5,12,6,$27250.00,25.4
1607004,Distressed,20,0.79,26.24,3118.75,0,9,7,5,$33950.00,46.6
1604003,Distressed,20,0.86,0,6750,0,11,34,6,$15500.00,29.6
703003,Distressed,20,0.83,22.99,3720,0,13,25,5,$40000.00,33.6
2007013,Middle Market Stressed,20,0.59,0,9325,0,2,1,4,$58750.00,72.4
1507022,Middle Market Stressed,20,0.64,0,7925,0,2,6,4,$44950.00,70.7
2008003,Distressed,20,0.75,0.51,2685.71,0,6,4,6,$30000.00,50.8
2710025,Middle Market Stressed,19,0.52,8.76,4485.71,0,7,9,5,$56305.00,53.2
2720034,Regional Choice,19,0.5,132.44,2557.69,1,4,0,4,$225000.00,63.6
2502042,Distressed,19,0.74,231.54,11256.25,0,2,7,4,$27000.00,10.5
1509002,Middle Market Stressed,19,0.6,0,4537.5,0,9,5,6,$49000.00,61.3
2704013,Middle Market,19,0.59,6.02,2936.36,0,5,0,7,$70000.00,75.5
2717005,Distressed,19,0.89,58.6,7966.67,1,3,15,7,$25751.00,44.1
2002004,Distressed,19,1.18,245.93,5633.33,0,4,28,5,$17000.00,41
